"","V1"
"1",3.82566914278977
"2",4.05696058327637
"3",3.53828828828829
"4",5.67809068366986
"5",4.54970621785076
"6",4.8358946628454
"7",5.52237986861008
"8",3.84603680625996
"9",3.13679099425859
"10",2.41928599275968
"11",2.55835567921679
"12",4.30392662534836
